1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
19,9,1,8,10,8,28,0,55,0,1024,10,10,335,16,56
19,9,2,8,10,8,28,0,55,0,1024,10,10,337,16,56
19,9,2,8,10,8,28,0,56,0,1024,10,10,338,16,55
19,9,2,8,10,8,29,0,57,0,1024,10,10,339,16,52
19,9,1,7,10,7,29,0,54,0,1024,10,10,342,17,46
19,9,-1,7,9,7,30,0,50,0,1024,9,10,345,17,41
19,9,-2,6,9,6,31,0,47,0,1024,9,10,347,18,36
19,9,-1,8,11,8,28,0,45,0,1024,11,10,350,18,34
19,9,0,11,12,11,25,0,42,0,1024,12,10,352,18,33
19,9,1,13,14,13,21,0,40,0,1024,14,10,355,18,33
19,9,0,15,16,15,18,0,36,0,1024,15,10,240,15,35
19,9,0,17,17,17,14,0,31,0,1023,17,10,126,12,41
19,9,-1,19,19,19,11,0,27,0,1023,18,10,12,9,46
19,9,-1,19,19,19,10,0,26,0,1022,18,10,11,9,46
19,9,-1,20,20,20,9,0,24,0,1022,19,10,10,8,44
19,9,-1,21,21,21,8,0,23,0,1021,19,10,9,7,44
19,9,-2,18,19,18,12,0,26,0,1021,17,10,122,8,44
19,9,-2,16,16,16,15,0,28,0,1021,15,10,235,8,44
19,9,-3,14,14,14,18,0,30,0,1021,13,10,348,9,44
19,9,-2,13,14,13,21,0,34,0,1021,13,10,344,10,43
19,9,-1,12,13,12,23,0,38,0,1021,13,10,340,11,43
19,9,0,11,12,11,25,0,41,0,1021,12,10,335,12,44
19,9,0,11,12,11,24,0,42,0,1021,12,10,336,12,47
19,9,0,10,12,10,24,0,43,0,1021,12,10,337,11,52
21,9,0,10,11,10,23,0,44,0,1020,11,10,337,11,61
21,9,-1,10,11,10,22,0,44,0,1020,11,10,332,11,61
21,9,-1,10,11,10,22,0,43,0,1020,11,10,327,10,59
21,9,-1,10,11,10,21,0,43,0,1019,11,10,322,10,54
21,9,-1,10,11,10,20,0,42,0,1019,10,10,323,10,47
21,9,-2,9,11,9,20,0,42,0,1019,10,10,324,10,41
21,9,-2,9,10,9,19,0,41,0,1019,9,10,325,9,38
21,9,-1,12,12,12,18,0,40,0,1019,12,10,325,10,35
21,9,0,14,15,14,16,0,38,0,1020,14,10,324,11,34
21,9,2,17,17,17,15,0,36,0,1020,17,10,324,12,34
21,9,5,18,18,18,14,1,41,0,1019,18,10,309,12,37
21,9,7,19,19,19,13,2,47,0,1018,19,10,294,11,43
21,9,10,21,21,21,12,3,52,0,1017,20,10,279,10,49
21,9,11,21,22,21,18,7,54,0,1017,21,10,274,15,48
21,9,12,21,23,21,24,11,55,0,1016,21,10,269,19,45
21,9,12,21,24,21,31,15,57,0,1016,21,10,264,24,45
21,9,13,20,22,20,28,15,63,0,1016,20,10,249,20,44
21,9,13,19,20,19,25,15,68,0,1016,19,10,234,15,44
21,9,13,18,18,18,22,15,73,0,1016,18,10,219,11,44
21,9,13,18,18,18,22,10,75,0,1016,18,10,239,11,43
21,9,13,17,17,17,23,5,76,0,1016,17,10,259,11,44
21,9,13,17,17,17,23,0,78,0,1016,17,10,279,11,45
21,9,13,17,17,17,21,10,79,0,1016,17,10,284,10,47
21,9,13,17,17,17,19,19,80,0,1016,16,10,289,9,53
20,11,13,16,16,16,17,29,80,0,1016,16,10,294,8,61
20,11,12,15,16,15,22,19,79,0,1016,15,10,307,11,60
20,11,11,14,15,14,26,10,77,0,1016,15,10,320,14,58
20,11,10,13,14,13,30,0,76,0,1016,14,10,334,17,53
20,11,8,12,13,12,27,0,72,0,1017,13,10,336,15,46
20,11,7,11,12,11,24,0,69,0,1018,12,10,337,13,40
20,11,5,10,11,10,20,0,65,0,1019,11,10,339,12,35
20,11,4,12,13,12,20,0,58,0,1019,12,10,341,13,33
20,11,3,13,14,13,20,0,50,0,1019,14,10,343,15,31
20,11,2,15,15,15,20,0,42,0,1020,15,10,345,17,31
20,11,2,16,16,16,19,0,38,0,1020,16,10,349,16,33
20,11,1,17,17,17,17,0,34,0,1019,17,10,353,15,39
20,11,0,18,18,18,16,0,29,0,1019,18,10,357,14,44
20,11,0,19,20,19,13,0,27,0,1018,19,10,357,12,43
20,11,0,21,21,21,11,0,25,0,1018,20,10,356,10,42
20,11,0,22,22,22,9,0,23,0,1018,20,10,356,8,43
20,11,0,20,20,20,9,0,28,0,1018,18,10,345,7,43
20,11,1,17,18,17,10,0,34,0,1019,16,10,334,6,43
20,11,2,15,15,15,10,0,39,0,1019,13,10,323,5,43
20,11,2,15,15,15,11,0,41,0,1019,13,10,319,6,43
20,11,2,14,14,14,13,0,44,0,1019,13,10,315,7,43
20,11,3,14,14,14,15,0,46,0,1019,13,10,311,8,45
20,11,4,14,14,14,12,0,50,0,1019,12,10,316,6,47
20,11,5,15,14,15,9,0,53,0,1018,11,10,320,5,52
20,10,6,15,14,15,6,0,57,0,1018,11,10,325,4,60
20,10,5,14,13,14,8,1,55,0,1018,11,10,320,5,60
20,10,4,13,13,13,11,2,54,0,1018,11,10,316,6,58
20,10,2,11,12,11,14,4,53,0,1017,11,10,311,6,53
20,10,3,11,11,11,15,2,54,0,1018,10,10,322,7,47
20,10,3,10,11,10,17,1,56,0,1018,10,10,332,8,41
20,10,3,10,11,10,18,0,58,0,1018,10,10,343,9,37
20,10,3,13,13,13,14,1,51,0,1019,12,10,347,7,35
20,10,3,15,16,15,10,2,44,0,1019,14,10,350,6,35
20,10,4,18,18,18,6,2,38,0,1020,16,10,354,5,35
20,10,4,20,20,20,6,2,35,0,1019,18,10,259,5,38
20,10,4,21,22,21,6,1,33,0,1019,19,10,163,5,44
20,10,4,23,23,23,6,0,30,0,1019,20,10,68,5,50
20,10,5,22,23,22,8,0,33,0,1018,20,10,96,7,50
20,10,5,21,22,21,10,0,35,0,1018,20,10,125,9,47
20,10,6,21,21,21,13,0,37,0,1018,20,10,153,11,46
20,10,8,20,20,20,12,0,49,0,1018,19,10,166,9,45
20,10,10,18,18,18,11,0,60,0,1018,17,10,179,7,44
20,10,12,17,17,17,9,0,72,0,1019,15,10,193,5,44
20,10,12,17,17,17,9,0,74,0,1019,15,10,215,5,43
20,10,13,17,17,17,9,0,76,0,1019,15,10,237,5,44
20,10,13,17,17,17,9,0,79,0,1019,14,10,259,5,45
20,10,13,17,17,17,8,0,79,0,1019,14,10,280,5,47
20,10,13,17,17,17,8,0,79,0,1019,14,10,300,5,52
24,12,13,17,17,17,8,0,79,0,1019,13,10,321,5,60
24,12,13,16,16,16,7,0,80,0,1019,13,10,320,4,60
24,12,13,16,16,16,7,0,82,0,1018,13,10,319,4,58
24,12,14,16,16,16,6,0,84,0,1018,13,10,319,4,53
24,12,14,16,16,16,7,0,85,0,1018,13,10,218,4,47
24,12,14,16,16,16,7,0,87,0,1019,13,10,117,4,40
24,12,14,16,16,16,7,0,88,0,1019,12,10,16,4,36
24,12,15,18,19,18,5,0,80,0,1019,15,10,52,3,34
24,12,16,21,22,21,3,0,73,0,1019,18,10,89,2,32
24,12,17,24,25,24,1,0,65,0,1019,21,10,125,1,33
24,12,16,24,26,24,3,0,59,0,1019,22,10,127,3,35
24,12,15,26,26,25,6,0,53,0,1019,23,10,130,5,41
24,12,14,26,26,26,8,0,47,0,1019,24,10,132,7,46
24,12,14,26,26,26,8,0,47,0,1019,24,10,133,7,45
24,12,14,26,26,26,9,0,47,0,1019,24,10,134,8,44
24,12,13,26,26,26,9,0,47,0,1018,24,10,134,8,44
24,12,14,24,24,24,9,2,55,0,1019,22,10,172,7,44
