1,2,3,4,5,6,7,8,9,10,11,12,13,14
18.1875,0,216.56,221.92,39.9125,42.415,81.665,113.52,623.36,1.42625,758.88,18.115,48.375,17.8275
18.4633,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,623.211,1.592,762.069,18.4147,47.808,18.1207
18.7673,17,219.403,218.933,39.772,42.2267,81.424,113.6,622.656,1.89133,766.251,18.8533,47.432,18.4367
19.0727,18,218.613,217.045,39.776,42.0987,81.5013,113.344,622.571,1.828,766.037,19.2907,47.024,18.7513
19.3721,20,217.714,216.08,39.7757,42.0686,81.4657,113.034,622.4,2.36071,762.743,19.74,45.4743,19.0414
19.6407,20,218.389,216.011,39.8107,42.0347,81.2427,113.6,622.4,2.06333,752.683,20.166,45.5467,19.2773
19.912,20,218.155,215.829,39.8613,41.9947,81.36,112.981,622.4,2.23067,740.949,20.566,44.968,19.5367
20.164,20,216.661,215.296,39.824,41.9947,81.024,111.259,621.803,1.924,721.109,20.8427,45.1813,19.7307
20.412,20,217.461,214.549,39.9587,42.1253,81.104,83.3547,620.651,2.51067,699.392,21.204,45.416,19.9693
20.64,20,215.349,213.909,39.94,42.0427,81.1813,83.36,620.309,2.65333,677.675,21.5227,45.0213,20.1407
20.8453,20,213.888,213.312,39.9813,42.1787,61.0693,83.6107,619.755,2.82667,648.427,21.756,44.36,20.3267
21.0333,20,215.413,213.739,40.3587,42.7067,51.2373,59.952,619.712,2.49467,615.68,21.984,44.7947,20.4713
21.2333,20,216.021,222.528,40.9107,41.5147,43.3733,52.824,619.328,2.466,582.869,22.108,43.984,20.9093
21.4293,19.6667,216.256,219.68,41.1987,40.956,36.2653,45.6747,619.243,2.432,544.533,22.1373,44.5467,21.4253
21.488,19,213.173,219.285,41.88,40.6347,34.476,40.16,619.157,1.732,503.744,22.08,44.7813,21.8467
21.524,18.6667,211.093,217.589,43.2213,40.8413,31.1267,32.248,618.944,1.89133,460.523,21.9373,45.6773,22.1573
21.584,18.2,211.157,215.136,43.3653,40.8867,21.442,23.44,618.645,1.64267,415.744,21.7067,45.5173,22.404
21.612,18,209.419,214.24,42.744,40.3867,20.822,23.44,618.56,1.59067,368.917,21.4667,45.2373,22.7307
21.664,18,209.408,213.632,42.216,39.9227,20.8233,23.44,618.56,1.732,320.448,21.1773,45.0747,22.9373
21.6853,18,209.547,215.029,41.976,39.6133,21.2633,22.244,618.517,1.59,271.723,20.9373,45.072,23.2
21.788,18,212.715,217.067,41.52,39.084,20.4807,23.44,617.92,1.94733,222.443,20.7107,44.128,23.436
21.832,18.7333,212.405,216.661,41.3253,38.3013,20.742,22.784,617.792,1.564,173.835,20.4627,43.2747,23.668
21.808,19,212.064,216.672,40.8667,37.7867,20.84,23.5853,617.109,1.544,101.244,20.2047,43.6107,23.852
21.768,18.6667,211.211,216.299,40.9813,37.712,20.9207,23.2253,615.957,1.08867,24.6653,19.976,45.8293,24.0213
21.7133,18,211.051,216.768,41.4107,37.748,19.4407,23.2427,615.36,0.844667,15.57,19.756,47.0693,24.1413
21.66,18,210.763,217.088,41.992,37.8373,11.5887,21.4213,614.592,1.442,5.00933,19.5273,49.5467,24.268
21.596,18,210.571,215.616,43.1973,38.2173,11.5073,13.362,585.984,0.969333,-2.93933,19.3013,52.2027,24.38
21.5307,17.8667,209.92,216.107,43.8213,39.356,11.5073,13.1027,150.851,0.798667,-3.904,19.0413,53.8053,24.0707
21.4493,17,209.792,215.477,44.3893,40.1587,11.5073,13.6067,4.60667,0.228,-3.708,18.768,54.928,23.588
21.3747,17,210.059,214.987,44.68,40.752,11.4427,13.0213,0.782,0.324,-3.64267,18.4967,55.752,23.2867
21.276,16.2667,210.069,215.115,44.64,41.2507,11.426,13.5413,0.65,0.716,-3.708,18.23,56.0213,23.032
21.1987,15.6667,209.909,216,44.8213,41.616,11.3113,12.7773,0.65,0.110667,-3.904,18.0053,56.584,22.7747
21.0933,15.6,210.656,214.901,44.7493,42.0027,11.67,13.3787,0.65,0.661333,-3.57733,17.7807,57.5387,22.5533
21,15,210.667,214.549,44.5867,42.4373,11.524,13.0213,0.65,0.615333,-3.64267,17.576,57.9147,22.352
20.9053,15,209.877,213.888,44.3227,42.6267,11.6053,13.0213,0.65,0.458667,-3.64267,17.3707,57.5893,22.1227
20.816,15,210.315,213.675,44.4693,42.7493,11.7847,13.2153,0.65,0.132,-3.64267,17.1607,57.1467,21.9347
20.72,15,209.429,214.123,44.0507,42.808,11.4427,13.2653,0.65,0.119333,-3.512,16.9407,57.1653,21.7133
20.628,15,209.216,214.304,43.6827,42.8533,11.5887,12.5813,0.65,0,-3.38133,16.6853,57.1813,21.5373
